phrase;rel_page;2019-01-01;2019-01-02;2019-01-03;2019-01-04;2019-01-05;2019-01-06;2019-01-07;2019-01-08;2019-01-09;2019-01-10;2019-01-11;2019-01-12;2019-01-13;2019-01-14;2019-01-15;2019-01-16;2019-01-17;2019-01-18;2019-01-19;2019-01-20;2019-01-21;2019-01-22;2019-01-23;2019-01-24;2019-01-25;2019-01-26;2019-01-27;2019-01-28;2019-01-29;2019-01-30;2019-01-31;2019-02-01;2019-02-02;2019-02-03;2019-02-04;2019-02-05;2019-02-06;2019-02-07;2019-02-08;2019-02-09;2019-02-10;2019-02-11;2019-02-12;2019-02-13;2019-02-14;2019-02-15;2019-02-16;2019-02-17;2019-02-18;2019-02-19;2019-02-20;2019-02-21;2019-02-22;2019-02-23;2019-02-24;2019-02-25;2019-02-26;2019-02-27;2019-02-28;2019-03-01;2019-03-02;2019-03-03;2019-03-04;2019-03-05;2019-03-06;2019-03-07;2019-03-08;2019-03-09;2019-03-10;2019-03-11;2019-03-12;2019-03-13;2019-03-14;2019-03-15;2019-03-16;2019-03-17;2019-03-18;2019-03-19;2019-03-20;2019-03-21;2019-03-22;2019-03-23;2019-03-24;2019-03-26;2019-03-27;2019-03-28;2019-03-29;2019-03-30;2019-03-31;2019-04-01;2019-04-02;2019-04-03;2019-04-04;2019-04-05;2019-04-06;2019-04-07;2019-04-08;2019-04-09;2019-04-10;2019-04-11;2019-04-12;2019-04-13;2019-04-14;2019-04-15
органическая косметика для лица;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
отбеливающий дневной крем купить;https://da-vita.ru/catalog/dnevnie-kremi-otbelivayushchie.html;22;24;23;7;25;26;24;27;28;26;21;26;23;31;86;19;84;31;21;19;24;8;24;25;16;22;18;17;29;28;29;16;13;17;12;19;12;17;16;12;12;12;23;12;11;12;11;11;11;15;15;19;21;29;23;29;30;28;35;29;32;31;32;27;27;28;24;18;20;24;27;30;29;28;27;28;27;30;30;29;25;25;30;27;21;22;23;22;28;87;101;101;85;83;83;89;101;29;28;101;29;27;95;88
отбеливающий крем от пигментных пятен купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
отбеливающий ночной крем купить;https://da-vita.ru/catalog/nochnie-kremi-otbelivayushchie.html;24;7;29;31;27;34;26;17;33;27;32;31;22;34;8;94;30;101;24;21;22;22;24;27;19;13;17;17;22;16;14;13;16;14;9;13;13;11;9;11;10;12;13;11;9;11;11;9;9;9;9;22;12;21;16;15;11;15;17;16;20;26;27;17;22;28;22;21;20;22;21;27;23;26;23;26;29;29;32;32;32;26;30;31;15;14;15;17;16;21;25;22;98;28;24;97;28;26;27;27;100;24;22;35
отзывы о косметике dr sea израиль;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
очищающая грязевая маска с алоэ вера;https://da-vita.ru/catalog/maski-s-aloe/aloe-vera-grayzzevaya-maska.html;23;26;26;91;88;83;82;81;80;35;82;89;91;91;90;92;92;92;90;88;31;34;34;36;36;30;30;30;35;30;56;30;29;23;22;26;27;25;24;28;28;28;37;25;25;26;24;22;23;23;29;38;27;33;35;38;38;36;50;38;27;29;23;19;23;28;25;23;22;23;22;23;27;29;29;50;32;32;34;31;33;29;34;34;29;31;26;29;29;30;24;25;36;42;35;32;30;40;28;32;34;26;27;80
очищающая маска для лица купить;-;101;101;101;94;94;93;94;96;98;101;101;101;101;101;101;101;68;62;101;101;101;65;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;98;98;95;95;96;98;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;82;91;94;92;96;98;101;101;101;101;87;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
очищающая пенка алоэ;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;97;101;101;101;101;101;101;101;101;101;101;77;78;78;81;83;84;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
парфюмерный гель для душа мужской;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
парфюмированный гель для душа для женщин;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
парфюмированный гель для душа для мужчин;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
парфюмированный мужской гель для душа;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
патчи для глаз с золотом;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
патчи для глаз черный жемчуг и золото;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
патчи под глаза как использовать;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
патчи под глаза с золотом;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
патчи с золотом;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
патчи с золотом корея;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
патчи с коллоидным золотом;-;93;92;92;101;101;100;98;96;95;77;92;92;99;92;93;101;101;86;86;101;62;73;76;77;65;60;75;65;90;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;41;101;42;44;39;101
пенка для умывания алоэ и гиалуроновая кислота;-;59;61;59;61;53;66;55;54;53;65;51;50;47;49;46;57;56;48;47;55;53;65;48;52;48;43;48;50;51;52;48;50;60;53;53;50;51;55;50;52;49;50;57;49;45;56;50;46;48;50;45;69;59;65;55;54;59;58;62;53;87;89;101;101;101;101;101;101;90;90;101;101;101;101;101;101;101;101;101;101;101;97;97;94;54;58;84;55;52;81;60;101;101;86;101;101;101;91;91;90;90;91;101;101
пенка для умывания с алоэ;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
пенка для умывания с экстрактом алоэ;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
пенка с алоэ вера;https://da-vita.ru/catalog/aloe-vera/ochishchayushchaya-penka-dlya-umivaniya-s-aloe.html;81;78;78;81;80;82;84;83;85;80;81;80;81;79;80;84;84;84;84;28;83;83;78;78;79;79;80;80;79;79;24;30;24;23;22;21;21;22;25;26;25;24;32;20;18;27;17;15;17;20;27;43;29;37;33;33;34;29;29;33;78;26;79;80;83;81;32;34;27;30;25;27;26;32;31;33;33;36;33;32;35;36;40;36;26;36;28;38;31;37;34;39;49;39;39;38;36;35;34;34;40;34;30;49
пенка экстракт алоэ;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
пилинг premier;-;18;19;20;20;20;25;25;25;24;25;19;101;26;33;26;28;29;22;19;20;25;26;25;25;25;26;25;24;26;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;51;34;40;39;50;49;48;52;46;44;46;47;52;48;101;101;101;101;101;101;101;101;96;101;101;101;101;88;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
пилинг израильской косметикой;https://da-vita.ru/catalog/izrailskie-skrabi-i-pilingi-dlya-tela.html;7;7;7;8;7;10;9;9;10;11;10;11;12;11;11;12;10;8;8;9;9;10;9;11;14;11;14;14;13;12;15;21;20;24;22;21;18;22;30;32;32;29;42;31;27;26;44;9;11;9;28;43;20;31;11;26;11;11;42;35;30;23;27;23;31;32;28;27;34;39;23;33;23;27;33;41;40;46;21;37;34;21;22;20;22;26;20;23;14;13;14;15;22;18;22;20;19;19;23;20;22;19;14;16
питательная маска для волос купить;https://da-vita.ru/catalog/uvlajnyayushchie-pitatelnie-maski-dlya-volos.html;10;10;11;12;11;13;11;101;9;12;14;12;11;11;8;11;6;6;6;5;8;7;11;11;8;6;7;8;9;6;6;7;5;8;10;9;5;4;9;11;9;4;7;4;4;11;4;4;10;13;15;30;17;8;14;14;9;14;24;21;17;12;10;19;7;9;13;12;11;10;15;15;14;9;11;13;12;16;15;14;11;7;15;9;8;9;10;12;10;10;12;10;10;11;18;10;13;12;11;11;12;11;11;16
питательный крем летом;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;83;75;81;78;18;16;17;15;101;16;14;14;16;7;7;10;11;13;101;101;101;101;101;101;101;101;101;101;80;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;23;101;101
польза грязевых масок для лица;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
посоветуйте легкий крем для лица на лето;-;101;101;101;101;101;101;101;101;99;101;90;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;70;50;82;82;61;48;51;55;46;56;43;45;50;36;29;81;48;39;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;88;101;101;101;101;101;101;101
премиум крема для лица;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
премьер профессиональная косметика;https://da-vita.ru/catalog/premier.html;5;4;4;5;5;5;5;5;5;5;6;6;2;5;5;5;7;5;5;7;6;9;7;10;4;4;3;3;4;4;7;5;5;3;4;3;8;3;8;7;5;5;9;12;3;7;8;5;8;5;5;13;5;10;6;6;7;6;10;6;6;7;7;6;8;9;8;9;8;7;3;8;6;7;10;8;10;11;7;11;9;14;14;7;14;16;13;15;14;17;14;18;12;14;14;15;12;14;10;11;11;11;11;12
профессиональная декоративная косметика для лица интернет магазин;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
профессиональная израильская косметика для лица бренды;https://da-vita.ru/catalog/izrailskaya-kosmetika.html;17;18;9;10;10;14;12;10;11;9;10;10;10;17;16;18;16;10;12;13;12;14;14;15;15;13;15;17;19;11;19;12;11;11;17;14;12;17;18;18;12;18;37;24;13;10;14;10;10;10;12;29;13;25;26;29;28;24;29;21;35;36;29;28;38;41;31;46;34;32;32;32;32;31;28;27;26;27;33;28;31;25;27;26;24;27;21;25;21;26;30;23;19;24;20;28;23;18;22;23;27;24;25;25
профессиональная косметика бренды;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
профессиональная косметика дешево интернет магазин;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
профессиональная косметика для волос интернет магазин;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
профессиональная косметика для волос интернет магазин недорого;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
профессиональная косметика для волос марки;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
профессиональная косметика для волос недорого;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
профессиональная косметика для волос спб;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
профессиональная косметика для волос фирмы;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
профессиональная косметика для лица бренды;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
профессиональная косметика для лица интернет магазин;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
профессиональная косметика для лица купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
профессиональная косметика для поврежденных волос;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
профессиональная косметика для тела;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
профессиональная косметика для тела интернет магазин;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
профессиональная косметика для тела купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
профессиональная косметика недорого интернет магазин;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
профессиональная косметика по уходу за лицом;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
профессиональная косметика спб недорого;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
профессиональная косметика уходу телом;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
профессиональная косметика цены;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
профессиональная уходовая косметика для лица;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
рейтинг кремов на лето;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;91;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;96;101;98;98;94;98;98;96;86;82;101;84;18;11;15;21;14;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;98;101;101;101;101;101
рецепт крема для лица для лета;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
